ACCESSION NUMBER: (WOS:0002213213*)
null
Timespan=All years. Indexes=SCI-EXPANDED.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Sex pheromone communication in the sea lamprey: Implications for integrated management","Li, WM; Siefkes, MJ; Scott, AP; Teeter, JH","","","","JOURNAL OF GREAT LAKES RESEARCH","2003","2003","29","","","1","","85","94","","","","","40","2.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","2","2","2","3","2","2","2","3","2","2","5","2","4","0"
"The biology of metamorphosis in sea lampreys: Endocrine, environmental, and physiological cues and events, and their potential application to lamprey control","Youson, JH","","","","JOURNAL OF GREAT LAKES RESEARCH","2003","2003","29","","","1","","26","49","","","","","39","2.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","1","3","5","3","2","1","3","2","5","5","1","1","2"
"Host selection and lethality of attacks by sea lampreys (Petromyzon marinus) in laboratory studies","Swink, WD","","","","JOURNAL OF GREAT LAKES RESEARCH","2003","2003","29","","","1","","307","319","","","","","37","2.47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","2","2","2","5","2","2","2","2","3","3","2","4","1"
"The sea lamprey in Lake Erie: a case history","Sullivan, WP; Christie, GC; Cornelius, FC; Fodale, MF; Johnson, DA; Koonces, JF; Larson, GL; McDonald, RB; Mullett, KM; Murray, CK; Ryan, PA","","","","JOURNAL OF GREAT LAKES RESEARCH","2003","2003","29","","","1","","615","636","","","","","36","2.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","2","7","3","4","1","1","4","1","0","0","3","1"
"Sea lamprey (Petromyzon marinus) parasite-host interactions in the Great Lakes","Bence, JR; Bergstedt, RA; Christie, GC; Cochran, PA; Ebener, MP; Koonce, JF; Rutter, MA; Swink, WD","","","","JOURNAL OF GREAT LAKES RESEARCH","2003","2003","29","","","1","","253","282","","","","","35","2.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","2","2","3","0","2","3","2","1","2","4","2","1"
"Possible applications of pheromones in an integrated sea lamprey management program","Twohey, MB; Sorensen, PW; Li, WM","","","","JOURNAL OF GREAT LAKES RESEARCH","2003","2003","29","","","1","","794","800","","","","","34","2.27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","2","3","4","0","1","2","3","2","3","2","4","2","0"
"Factors responsible for the reduction in quantity of the lampricide, TFM, applied annually in streams tributary to the Great Lakes from 1979 to 1999","Brege, DC; Davis, DM; Genovese, JH; McAuley, TC; Stephens, BE; Westman, RW","","","","JOURNAL OF GREAT LAKES RESEARCH","2003","2003","29","","","1","","500","509","","","","","33","2.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","3","0","0","3","3","1","1","0","0","0","3","2","2","2"
"Situ determination of the annual thermal habitat use by lake trout (Salvelinus namaycush) in Lake Huron","Bergstedt, RA; Argyle, RL; Seelye, JG; Scribner, KT; Curtis, GL","","","","JOURNAL OF GREAT LAKES RESEARCH","2003","2003","29","","","1","","347","361","","","","","31","2.07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","2","2","1","2","3","1","0","5","1","4","3","1","2"
"Acute toxicity of TFM and a TFM/niclosamide mixture to selected species of fish, including lake sturgeon (Acipenser fulvescens) and mudpuppies (Necturus maculosus), in laboratory and field exposures","Boogaard, MA; Bills, TD; Johnson, DA","","","","JOURNAL OF GREAT LAKES RESEARCH","2003","2003","29","","","1","","529","541","","","","","31","2.07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","2","2","0","0","0","3","1","3","4","3","1"
"Sea lamprey abundance and management in Lake Superior, 1957 to 1999","Heinrich, JW; Mullett, KM; Hansen, MJ; Adams, JV; Klar, GT; Johnson, DA; Christie, GC; Young, RJ","","","","JOURNAL OF GREAT LAKES RESEARCH","2003","2003","29","","","1","","566","583","","","","","31","2.07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","2","2","2","3","1","2","1","4","0","3","1","3","0"
"The history of sea lamprey control in Lake Ontario and updated estimates of suppression targets","Larson, GL; Christie, GC; Johnson, DA; Koonce, JF; Mullett, KM; Sullivan, WP","","","","JOURNAL OF GREAT LAKES RESEARCH","2003","2003","29","","","1","","637","654","","","","","30","2.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","1","0","2","2","4","1","1","0","3","0","2","1","2","0"
"A case history of sea lamprey control in Lake Huron: 1979 to 1999","Morse, TJ; Ebener, MP; Koon, EM; Morkert, SB; Johnson, DA; Cuddy, DW; Weisser, JW; Mullett, KM; Genovese, JH","","","","JOURNAL OF GREAT LAKES RESEARCH","2003","2003","29","","","1","","599","614","","","","","29","1.93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","3","1","1","2","4","1","1","2","1","0","1","0","4","0"
"Low-head sea lamprey barrier effects on stream habitat and fish communities in the Great Lakes basin","Dodd, HR; Hayes, DB; Baylis, JR; Carl, LM; Goldstein, JD; McLaughlin, RL; Noakes, DLG; Porto, LM; Jones, ML","","","","JOURNAL OF GREAT LAKES RESEARCH","2003","2003","29","","","1","","386","402","","","","","27","1.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","2","1","3","3","1","3","2","0","3","1","1","1","2"
"Adaptive radiation of lampreys","Potter, IC; Gill, HS","","","","JOURNAL OF GREAT LAKES RESEARCH","2003","2003","29","","","1","","95","112","","","","","25","1.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","4","2","0","3","2","3","1","5","2","0","0","0"
"Development of a pH/alkalinity treatment model for applications of the lampricide TFM to streams tributary to the Great Lakes","Bills, TD; Boogaard, MA; Johnson, DA; Brege, DC; Scholefield, RJ; Westman, RW; Stephens, BE","","","","JOURNAL OF GREAT LAKES RESEARCH","2003","2003","29","","","1","","510","520","","","","","25","1.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","3","1","1","0","2","1","0","2","1","2","1"
"Optimizing larval assessment to support sea lamprey control in the Great Lakes","Hansen, MJ; Adams, JV; Cuddy, DW; Richards, JM; Fodale, MF; Larsons, GL; Ollila, DJ; Slade, JW; Steeves, TB; Young, RJ; Zerrenner, A","","","","JOURNAL OF GREAT LAKES RESEARCH","2003","2003","29","","","1","","766","782","","","","","25","1.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","1","3","3","2","1","2","1","0","1","2","2","0"
"Using an economic model of recreational fishing to evaluate the benefits of sea lamprey (Petromyzon marinus) control on the St. Marys River","Lupi, F; Hoehn, JP; Christie, GC","","","","JOURNAL OF GREAT LAKES RESEARCH","2003","2003","29","","","1","","742","754","","","","","24","1.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","1","2","0","0","0","3","1","3","6","1","1","1","0"
"Reduction in sea lamprey hatching success due to release of sterilized males","Bergstedt, RA; McDonald, RB; Twohey, MB; Mullett, KM; Young, RJ; Heinrich, JW","","","","JOURNAL OF GREAT LAKES RESEARCH","2003","2003","29","","","1","","435","444","","","","","23","1.53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","4","0","1","2","1","0","0","1","0","1","2","2","4","0"
"Feeding by northern brook lamprey (Ichthyomyzon fossor) on sestonic biofilm fragments: Habitat selection results in ingestion of a higher quality diet","Yap, MR; Bowen, SH","","","","JOURNAL OF GREAT LAKES RESEARCH","2003","2003","29","","","1","","15","25","","","","","22","1.47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","4","1","1","0","2","1","0","1","3","6","1"
