"","Source","Type","Session","Issue","Action","Vote","Last","First","Party","City","Role","District"
"4.1","sv0002","Wisconsin Senate Roll Call","2015-2016 SESSION","SJR 1","ADOPTION",NA,"Darling","Alberta","R","River Hills","Senator",8
"3.2","sv0003","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Aye","Cowles","Robert","R","Green Bay","Senator",2
"6.2","sv0003","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Aye","Farrow","Paul","R","Pewaukee","Senator",33
"7.2","sv0003","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Aye","Fitzgerald","Scott","R","Juneau","Majority Leader",13
"8.2","sv0003","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Aye","Gudex","Rick","R","Fond du Lac","Senator",18
"11.2","sv0003","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Aye","Harsdorf","Sheila","R","River Falls","Majority Caucus Chair",10
"14.2","sv0003","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Aye","Lasee","Frank","R","De Pere","Senator",1
"16.2","sv0003","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Aye","Lazich","Mary","R","New Berlin","Senate President",28
"17.2","sv0003","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Aye","LeMahieu","Devin","R","Oostburg","Senator",9
"18.2","sv0003","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Aye","Marklein","Howard","R","Spring Green","Senator",17
"20.2","sv0003","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Aye","Moulton","Terry","R","Chippewa Falls","Senator",23
"21.2","sv0003","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Aye","Nass","Stephen","R","Whitewater","Senator",11
"22.2","sv0003","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Aye","Olsen","Luther","R","Ripon","Senator",14
"23.2","sv0003","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Aye","Petrowski","Jerry","R","Marathon","Senator",29
"26.2","sv0003","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Aye","Roth","Roger","R","Appleton","Senator",19
"30.2","sv0003","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Aye","Tiffany","Thomas","R","Hazelhurst","Senator",12
"32.2","sv0003","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Aye","Vukmir","Leah","R","Brookfield","Assistant Majority Leader",5
"33.2","sv0003","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Aye","Wanggaard","Van","R","Racine","Majority Caucus Vice-Chair",21
"1.2","sv0003","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Nay","Bewley","Janet","D","Ashland","Senator",25
"2.2","sv0003","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Nay","Carpenter","Tim","D","Milwaukee","Senator",3
"5.2","sv0003","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Nay","Erpenbach","Jon","D","Middleton","Senator",27
"9.2","sv0003","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Nay","Hansen","Dave","D","Green Bay","Assistant Minority Leader",30
"10.2","sv0003","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Nay","Harris Dodd","Nikiya","D","Milwaukee","Senator",6
"13.2","sv0003","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Nay","Larson","Chris","D","Milwaukee","Senator",7
"15.2","sv0003","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Nay","Lassa","Julie","D","Stevens Point","Minority Caucus Chair",24
"19.2","sv0003","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Nay","Miller","Mark","D","Monona","Senator",16
"24.2","sv0003","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Nay","Ringhand","Janis","D","Evansville","Senator",15
"25.2","sv0003","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Nay","Risser","Fred","D","Madison","Senator",26
"27.2","sv0003","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Nay","Shilling","Jennifer","D","La Crosse","Minority Leader",32
"29.2","sv0003","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Nay","Taylor","Lena","D","Milwaukee","Senator",4
"31.2","sv0003","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Nay","Vinehout","Kathleen","D","Alma","Minority Caucus Vice-Chair",31
"34.2","sv0003","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Nay","Wirch","Robert","D","Kenosha","Senator",22
"4.2","sv0003","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE",NA,"Darling","Alberta","R","River Hills","Senator",8
"3.3","sv0004","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Aye","Cowles","Robert","R","Green Bay","Senator",2
"6.3","sv0004","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Aye","Farrow","Paul","R","Pewaukee","Senator",33
"7.3","sv0004","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Aye","Fitzgerald","Scott","R","Juneau","Majority Leader",13
"8.3","sv0004","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Aye","Gudex","Rick","R","Fond du Lac","Senator",18
"11.3","sv0004","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Aye","Harsdorf","Sheila","R","River Falls","Majority Caucus Chair",10
"14.3","sv0004","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Aye","Lasee","Frank","R","De Pere","Senator",1
"16.3","sv0004","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Aye","Lazich","Mary","R","New Berlin","Senate President",28
"17.3","sv0004","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Aye","LeMahieu","Devin","R","Oostburg","Senator",9
"18.3","sv0004","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Aye","Marklein","Howard","R","Spring Green","Senator",17
"20.3","sv0004","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Aye","Moulton","Terry","R","Chippewa Falls","Senator",23
"21.3","sv0004","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Aye","Nass","Stephen","R","Whitewater","Senator",11
"22.3","sv0004","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Aye","Olsen","Luther","R","Ripon","Senator",14
"23.3","sv0004","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Aye","Petrowski","Jerry","R","Marathon","Senator",29
"26.3","sv0004","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Aye","Roth","Roger","R","Appleton","Senator",19
"30.3","sv0004","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Aye","Tiffany","Thomas","R","Hazelhurst","Senator",12
"32.3","sv0004","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Aye","Vukmir","Leah","R","Brookfield","Assistant Majority Leader",5
"33.3","sv0004","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Aye","Wanggaard","Van","R","Racine","Majority Caucus Vice-Chair",21
"1.3","sv0004","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Nay","Bewley","Janet","D","Ashland","Senator",25
"2.3","sv0004","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Nay","Carpenter","Tim","D","Milwaukee","Senator",3
"5.3","sv0004","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Nay","Erpenbach","Jon","D","Middleton","Senator",27
"9.3","sv0004","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Nay","Hansen","Dave","D","Green Bay","Assistant Minority Leader",30
"10.3","sv0004","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Nay","Harris Dodd","Nikiya","D","Milwaukee","Senator",6
"13.3","sv0004","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Nay","Larson","Chris","D","Milwaukee","Senator",7
"15.3","sv0004","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Nay","Lassa","Julie","D","Stevens Point","Minority Caucus Chair",24
"19.3","sv0004","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Nay","Miller","Mark","D","Monona","Senator",16
"24.3","sv0004","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Nay","Ringhand","Janis","D","Evansville","Senator",15
"25.3","sv0004","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Nay","Risser","Fred","D","Madison","Senator",26
"27.3","sv0004","Wisconsin Senate Roll Call","2015-2016 SESSION","SR 2","LAY ON TABLE","Nay","Shilling","Jennifer","D","La Crosse","Minority Leader",32
