"","Source","Type","Session","Issue","Action","Vote","Last","First","Party","City","Role","District"
"33.145","sv0146","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","   ","CONFIRMATION","Aye","Wanggaard","Van","R","Racine","Majority Caucus Vice-Chair",21
"34.145","sv0146","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","   ","CONFIRMATION","Aye","Wirch","Robert","D","Kenosha","Senator",22
"26.145","sv0146","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","   ","CONFIRMATION",NA,"Roth","Roger","R","Appleton","Senator",19
"1.146","sv0147","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Bewley","Janet","D","Ashland","Senator",25
"2.146","sv0147","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Carpenter","Tim","D","Milwaukee","Senator",3
"3.146","sv0147","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Cowles","Robert","R","Green Bay","Senator",2
"4.146","sv0147","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Darling","Alberta","R","River Hills","Senator",8
"5.146","sv0147","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Erpenbach","Jon","D","Middleton","Senator",27
"7.146","sv0147","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Fitzgerald","Scott","R","Juneau","Majority Leader",13
"8.146","sv0147","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Gudex","Rick","R","Fond du Lac","Senator",18
"9.146","sv0147","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Hansen","Dave","D","Green Bay","Assistant Minority Leader",30
"10.146","sv0147","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Harris Dodd","Nikiya","D","Milwaukee","Senator",6
"11.146","sv0147","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Harsdorf","Sheila","R","River Falls","Majority Caucus Chair",10
"12.42","sv0147","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Kapenga","Chris","R","Delafield","Senator",33
"13.146","sv0147","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Larson","Chris","D","Milwaukee","Senator",7
"14.146","sv0147","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Lasee","Frank","R","De Pere","Senator",1
"15.146","sv0147","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Lassa","Julie","D","Stevens Point","Minority Caucus Chair",24
"16.146","sv0147","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Lazich","Mary","R","New Berlin","Senate President",28
"17.146","sv0147","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","LeMahieu","Devin","R","Oostburg","Senator",9
"18.146","sv0147","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Marklein","Howard","R","Spring Green","Senator",17
"19.146","sv0147","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Miller","Mark","D","Monona","Senator",16
"20.146","sv0147","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Moulton","Terry","R","Chippewa Falls","Senator",23
"21.146","sv0147","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Nass","Stephen","R","Whitewater","Senator",11
"22.146","sv0147","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Olsen","Luther","R","Ripon","Senator",14
"23.146","sv0147","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Petrowski","Jerry","R","Marathon","Senator",29
"24.146","sv0147","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Ringhand","Janis","D","Evansville","Senator",15
"25.146","sv0147","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Risser","Fred","D","Madison","Senator",26
"27.146","sv0147","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Shilling","Jennifer","D","La Crosse","Minority Leader",32
"28.118","sv0147","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Stroebel","Duey","R","Saukville","Senator",20
"29.146","sv0147","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Taylor","Lena","D","Milwaukee","Senator",4
"30.146","sv0147","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Tiffany","Thomas","R","Hazelhurst","Senator",12
"31.146","sv0147","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Vinehout","Kathleen","D","Alma","Minority Caucus Vice-Chair",31
"32.146","sv0147","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Vukmir","Leah","R","Brookfield","Assistant Majority Leader",5
"33.146","sv0147","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Wanggaard","Van","R","Racine","Majority Caucus Vice-Chair",21
"34.146","sv0147","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Wirch","Robert","D","Kenosha","Senator",22
"26.146","sv0147","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR",NA,"Roth","Roger","R","Appleton","Senator",19
"1.147","sv0148","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Bewley","Janet","D","Ashland","Senator",25
"2.147","sv0148","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Carpenter","Tim","D","Milwaukee","Senator",3
"3.147","sv0148","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Cowles","Robert","R","Green Bay","Senator",2
"4.147","sv0148","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Darling","Alberta","R","River Hills","Senator",8
"5.147","sv0148","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Erpenbach","Jon","D","Middleton","Senator",27
"7.147","sv0148","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Fitzgerald","Scott","R","Juneau","Majority Leader",13
"8.147","sv0148","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Gudex","Rick","R","Fond du Lac","Senator",18
"9.147","sv0148","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Hansen","Dave","D","Green Bay","Assistant Minority Leader",30
"10.147","sv0148","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Harris Dodd","Nikiya","D","Milwaukee","Senator",6
"11.147","sv0148","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Harsdorf","Sheila","R","River Falls","Majority Caucus Chair",10
"12.43","sv0148","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Kapenga","Chris","R","Delafield","Senator",33
"13.147","sv0148","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Larson","Chris","D","Milwaukee","Senator",7
"14.147","sv0148","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Lasee","Frank","R","De Pere","Senator",1
"15.147","sv0148","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Lassa","Julie","D","Stevens Point","Minority Caucus Chair",24
"16.147","sv0148","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Lazich","Mary","R","New Berlin","Senate President",28
"17.147","sv0148","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","LeMahieu","Devin","R","Oostburg","Senator",9
"18.147","sv0148","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Marklein","Howard","R","Spring Green","Senator",17
"19.147","sv0148","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Miller","Mark","D","Monona","Senator",16
"20.147","sv0148","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Moulton","Terry","R","Chippewa Falls","Senator",23
"21.147","sv0148","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Nass","Stephen","R","Whitewater","Senator",11
"22.147","sv0148","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Olsen","Luther","R","Ripon","Senator",14
"23.147","sv0148","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Petrowski","Jerry","R","Marathon","Senator",29
"24.147","sv0148","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Ringhand","Janis","D","Evansville","Senator",15
"25.147","sv0148","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Risser","Fred","D","Madison","Senator",26
"27.147","sv0148","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Shilling","Jennifer","D","La Crosse","Minority Leader",32
"28.119","sv0148","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Stroebel","Duey","R","Saukville","Senator",20
"29.147","sv0148","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Taylor","Lena","D","Milwaukee","Senator",4
"30.147","sv0148","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Tiffany","Thomas","R","Hazelhurst","Senator",12
"31.147","sv0148","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Vinehout","Kathleen","D","Alma","Minority Caucus Vice-Chair",31
"32.147","sv0148","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Vukmir","Leah","R","Brookfield","Assistant Majority Leader",5
"33.147","sv0148","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Wanggaard","Van","R","Racine","Majority Caucus Vice-Chair",21
"34.147","sv0148","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR","Aye","Wirch","Robert","D","Kenosha","Senator",22
"26.147","sv0148","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION","EA ","CONFIRMATION OF APPOINTMENT BY THE GOVERNOR",NA,"Roth","Roger","R","Appleton","Senator",19
"1.148","sv0149","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","REFER TO COMMITTEE                          ","Aye","Bewley","Janet","D","Ashland","Senator",25
"2.148","sv0149","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","REFER TO COMMITTEE                          ","Aye","Carpenter","Tim","D","Milwaukee","Senator",3
"5.148","sv0149","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","REFER TO COMMITTEE                          ","Aye","Erpenbach","Jon","D","Middleton","Senator",27
"9.148","sv0149","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","REFER TO COMMITTEE                          ","Aye","Hansen","Dave","D","Green Bay","Assistant Minority Leader",30
"10.148","sv0149","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","REFER TO COMMITTEE                          ","Aye","Harris Dodd","Nikiya","D","Milwaukee","Senator",6
"13.148","sv0149","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","REFER TO COMMITTEE                          ","Aye","Larson","Chris","D","Milwaukee","Senator",7
"15.148","sv0149","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","REFER TO COMMITTEE                          ","Aye","Lassa","Julie","D","Stevens Point","Minority Caucus Chair",24
"19.148","sv0149","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","REFER TO COMMITTEE                          ","Aye","Miller","Mark","D","Monona","Senator",16
"24.148","sv0149","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","REFER TO COMMITTEE                          ","Aye","Ringhand","Janis","D","Evansville","Senator",15
"25.148","sv0149","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","REFER TO COMMITTEE                          ","Aye","Risser","Fred","D","Madison","Senator",26
"27.148","sv0149","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","REFER TO COMMITTEE                          ","Aye","Shilling","Jennifer","D","La Crosse","Minority Leader",32
"29.148","sv0149","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","REFER TO COMMITTEE                          ","Aye","Taylor","Lena","D","Milwaukee","Senator",4
"31.148","sv0149","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","REFER TO COMMITTEE                          ","Aye","Vinehout","Kathleen","D","Alma","Minority Caucus Vice-Chair",31
"34.148","sv0149","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","REFER TO COMMITTEE                          ","Aye","Wirch","Robert","D","Kenosha","Senator",22
"3.148","sv0149","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","REFER TO COMMITTEE                          ","Nay","Cowles","Robert","R","Green Bay","Senator",2
"4.148","sv0149","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","REFER TO COMMITTEE                          ","Nay","Darling","Alberta","R","River Hills","Senator",8
"7.148","sv0149","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","REFER TO COMMITTEE                          ","Nay","Fitzgerald","Scott","R","Juneau","Majority Leader",13
"8.148","sv0149","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","REFER TO COMMITTEE                          ","Nay","Gudex","Rick","R","Fond du Lac","Senator",18
"11.148","sv0149","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","REFER TO COMMITTEE                          ","Nay","Harsdorf","Sheila","R","River Falls","Majority Caucus Chair",10
"12.44","sv0149","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","REFER TO COMMITTEE                          ","Nay","Kapenga","Chris","R","Delafield","Senator",33
"14.148","sv0149","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","REFER TO COMMITTEE                          ","Nay","Lasee","Frank","R","De Pere","Senator",1
"16.148","sv0149","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","REFER TO COMMITTEE                          ","Nay","Lazich","Mary","R","New Berlin","Senate President",28
"17.148","sv0149","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","REFER TO COMMITTEE                          ","Nay","LeMahieu","Devin","R","Oostburg","Senator",9
"18.148","sv0149","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","REFER TO COMMITTEE                          ","Nay","Marklein","Howard","R","Spring Green","Senator",17
"20.148","sv0149","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","REFER TO COMMITTEE                          ","Nay","Moulton","Terry","R","Chippewa Falls","Senator",23
"21.148","sv0149","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","REFER TO COMMITTEE                          ","Nay","Nass","Stephen","R","Whitewater","Senator",11
"22.148","sv0149","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","REFER TO COMMITTEE                          ","Nay","Olsen","Luther","R","Ripon","Senator",14
"23.148","sv0149","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","REFER TO COMMITTEE                          ","Nay","Petrowski","Jerry","R","Marathon","Senator",29
"28.120","sv0149","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","REFER TO COMMITTEE                          ","Nay","Stroebel","Duey","R","Saukville","Senator",20
"30.148","sv0149","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","REFER TO COMMITTEE                          ","Nay","Tiffany","Thomas","R","Hazelhurst","Senator",12
"32.148","sv0149","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","REFER TO COMMITTEE                          ","Nay","Vukmir","Leah","R","Brookfield","Assistant Majority Leader",5
"33.148","sv0149","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","REFER TO COMMITTEE                          ","Nay","Wanggaard","Van","R","Racine","Majority Caucus Vice-Chair",21
"26.148","sv0149","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","REFER TO COMMITTEE                          ",NA,"Roth","Roger","R","Appleton","Senator",19
"3.149","sv0150","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","PASSAGE                                     ","Aye","Cowles","Robert","R","Green Bay","Senator",2
"4.149","sv0150","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","PASSAGE                                     ","Aye","Darling","Alberta","R","River Hills","Senator",8
"7.149","sv0150","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","PASSAGE                                     ","Aye","Fitzgerald","Scott","R","Juneau","Majority Leader",13
"8.149","sv0150","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","PASSAGE                                     ","Aye","Gudex","Rick","R","Fond du Lac","Senator",18
"11.149","sv0150","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","PASSAGE                                     ","Aye","Harsdorf","Sheila","R","River Falls","Majority Caucus Chair",10
"12.45","sv0150","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","PASSAGE                                     ","Aye","Kapenga","Chris","R","Delafield","Senator",33
"14.149","sv0150","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","PASSAGE                                     ","Aye","Lasee","Frank","R","De Pere","Senator",1
"16.149","sv0150","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","PASSAGE                                     ","Aye","Lazich","Mary","R","New Berlin","Senate President",28
"17.149","sv0150","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","PASSAGE                                     ","Aye","LeMahieu","Devin","R","Oostburg","Senator",9
"18.149","sv0150","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","PASSAGE                                     ","Aye","Marklein","Howard","R","Spring Green","Senator",17
"20.149","sv0150","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","PASSAGE                                     ","Aye","Moulton","Terry","R","Chippewa Falls","Senator",23
"21.149","sv0150","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","PASSAGE                                     ","Aye","Nass","Stephen","R","Whitewater","Senator",11
"22.149","sv0150","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","PASSAGE                                     ","Aye","Olsen","Luther","R","Ripon","Senator",14
"23.149","sv0150","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","PASSAGE                                     ","Aye","Petrowski","Jerry","R","Marathon","Senator",29
"28.121","sv0150","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","PASSAGE                                     ","Aye","Stroebel","Duey","R","Saukville","Senator",20
"30.149","sv0150","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","PASSAGE                                     ","Aye","Tiffany","Thomas","R","Hazelhurst","Senator",12
"32.149","sv0150","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","PASSAGE                                     ","Aye","Vukmir","Leah","R","Brookfield","Assistant Majority Leader",5
"33.149","sv0150","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","PASSAGE                                     ","Aye","Wanggaard","Van","R","Racine","Majority Caucus Vice-Chair",21
"1.149","sv0150","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","PASSAGE                                     ","Nay","Bewley","Janet","D","Ashland","Senator",25
"2.149","sv0150","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","PASSAGE                                     ","Nay","Carpenter","Tim","D","Milwaukee","Senator",3
"5.149","sv0150","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","PASSAGE                                     ","Nay","Erpenbach","Jon","D","Middleton","Senator",27
"9.149","sv0150","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","PASSAGE                                     ","Nay","Hansen","Dave","D","Green Bay","Assistant Minority Leader",30
"10.149","sv0150","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","PASSAGE                                     ","Nay","Harris Dodd","Nikiya","D","Milwaukee","Senator",6
"13.149","sv0150","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","PASSAGE                                     ","Nay","Larson","Chris","D","Milwaukee","Senator",7
"15.149","sv0150","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","PASSAGE                                     ","Nay","Lassa","Julie","D","Stevens Point","Minority Caucus Chair",24
"19.149","sv0150","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","PASSAGE                                     ","Nay","Miller","Mark","D","Monona","Senator",16
"24.149","sv0150","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","PASSAGE                                     ","Nay","Ringhand","Janis","D","Evansville","Senator",15
"25.149","sv0150","Wisconsin Senate Roll Call","NOVEMBER 2015 EXTRAORDINARY SESSION"," SB  178","PASSAGE                                     ","Nay","Risser","Fred","D","Madison","Senator",26
